post_order,category,file_slug,id,slug,status,yt_title,yt_description,yt_tags,youtube_video_id,youtube_url,yt_published_date,notes
57,product,PC4_product-from-unable-to-able,PC4,product-from-unable-to-able,pending,From Unable. To Able.,"From Unable. To Able.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,page,product,from,unable,able",,,,7 slides
58,legacy,C3_five-buckets,C3,five-buckets,pending,Every deposit has five jobs.,"Every deposit has five jobs.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,green,five,buckets",,,,7 slides
59,brand-script,C243_brandscript-stop-checking,C243,brandscript-stop-checking,pending,You want to stop refreshing your bank.,"You want to stop refreshing your bank.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,black,stop,checking",,,,6 slides
60,identity,C251_identity-can-afford-this,C251,identity-can-afford-this,pending,"""We can afford this."" First time you said it out loud.","""We can afford this."" First time you said it out loud.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,page,afford,this",,,,5 slides
61,scenario,C89_scenario-bonus-arrived,C89,scenario-bonus-arrived,pending,Bonus hit. Or a refund. Or a gift.,"Bonus hit. Or a refund. Or a gift.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,glass,bonus,arrived",,,,5 slides
62,persona,C74_persona-business-owners,C74,persona-business-owners,pending,Payroll Friday. Your pay? Sometimes.,"Payroll Friday. Your pay? Sometimes.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,business,green,persona,owners",,,,5 slides
63,feature,C79_feature-deep-dive,C79,feature-deep-dive,pending,"The month, replayed. Where did it actually go?","The month, replayed. Where did it actually go?

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,deep-dive,page,feature,deep,dive",,,,5 slides
64,counter,C84_counter-spreadsheet,C84,counter-spreadsheet,pending,Your spreadsheet. Flat lines. For a wave paycheck.,"Your spreadsheet. Flat lines. For a wave paycheck.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,spreadsheet,white,counter",,,,5 slides
65,day-1-31,C95_business-owner-day-1-31,C95,business-owner-day-1-31,pending,Owner. Day 1. Client deposit cleared.,"Owner. Day 1. Client deposit cleared.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,business,green,owner",,,,5 slides
66,listicle,C190_list-automating-floor-benefits,C190,list-automating-floor-benefits,pending,5 benefits of automating your floor.,"5 benefits of automating your floor.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,5 benefits,glass,list,automating,floor,benefits",,,,7 slides
67,landing,C185_landing-become-able,C185,landing-become-able,pending,From Unable.,"From Unable.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,landing,page,become,able",,,,5 slides
68,learn,C120_learn-build-wealth,C120,learn-build-wealth,pending,Make your money work for you.,"Make your money work for you.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,wealth,glass,learn,build",,,,5 slides
69,product,PC5_product-tax-season,PC5,product-tax-season,pending,"Tax season, simplified.","Tax season, simplified.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,white,product,season",,,,6 slides
70,legacy,C6_freezing-to-flowing,C6,freezing-to-flowing,pending,How freelancers stop freezing.,"How freelancers stop freezing.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,page,freezing,flowing",,,,7 slides
71,brand-script,C245_brandscript-year-one-calm,C245,brandscript-year-one-calm,pending,You want a year that doesn't end in panic.,"You want a year that doesn't end in panic.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,glass,year,calm",,,,6 slides
72,identity,C115_identity-stopped-checking,C115,identity-stopped-checking,pending,Tuesday. Realized you hadn't checked your balance.,"Tuesday. Realized you hadn't checked your balance.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,black,stopped,checking",,,,5 slides
73,scenario,C106_scenario-subscription-leak,C106,scenario-subscription-leak,pending,Pulled your statements. $340 in subscriptions.,"Pulled your statements. $340 in subscriptions.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,page,subscription,leak",,,,5 slides
74,persona,C100_persona-designer-developer,C100,persona-designer-developer,pending,Net-60 invoice. Bills due net-zero.,"Net-60 invoice. Bills due net-zero.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,design,white,persona,designer,developer",,,,5 slides
75,feature,C96_feature-debt-tracker,C96,feature-debt-tracker,pending,Debt. Tracked.,"Debt. Tracked.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,debts,black,feature,debt,tracker",,,,5 slides
76,day-1-31,C259_designer-day-1-31,C259,designer-day-1-31,pending,Designer/developer. Day 1. New project kicked off.,"Designer/developer. Day 1. New project kicked off.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,design,white,designer",,,,5 slides
77,listicle,C191_list-debt-not-moving-reasons,C191,list-debt-not-moving-reasons,pending,5 reasons your debt isn't moving.,"5 reasons your debt isn't moving.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,5 reasons,black,list,debt,moving,reasons",,,,7 slides
78,learn,C121_learn-protect-wealth,C121,learn-protect-wealth,pending,Building is half. Keeping is the other.,"Building is half. Keeping is the other.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,protect,page,learn,wealth",,,,5 slides
79,product,PC6_product-slow-month,PC6,product-slow-month,pending,When the slow month hits.,"When the slow month hits.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,glass-dark,product,slow,month",,,,7 slides
80,legacy,C5_tax-math-1099,C5,tax-math-1099,pending,"If you're 1099, read this.","If you're 1099, read this.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,white,math",,,,7 slides
81,brand-script,C247_brandscript-reserve-bridge,C247,brandscript-reserve-bridge,pending,You want to bridge slow months without panic.,"You want to bridge slow months without panic.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,green,reserve,bridge",,,,6 slides
82,identity,C253_identity-slow-week-didnt-break,C253,identity-slow-week-didnt-break,pending,A slow week. Used to trigger the spiral.,"A slow week. Used to trigger the spiral.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,glass-dark,slow,week,didnt,break",,,,5 slides
83,scenario,C90_scenario-zero-balance,C90,scenario-zero-balance,pending,Checking hit $0. Again.,"Checking hit $0. Again.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,black,zero,balance",,,,5 slides
84,persona,C101_persona-real-estate,C101,persona-real-estate,pending,Closed in March. Next deal? June.,"Closed in March. Next deal? June.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,real estate,green,persona,real,estate",,,,5 slides
85,feature,C97_feature-log-income,C97,feature-log-income,pending,Cash. Venmo. PayPal. Anything.,"Cash. Venmo. PayPal. Anything.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,log income,page,feature,income",,,,5 slides
86,day-1-31,C260_real-estate-day-1-31,C260,real-estate-day-1-31,pending,Real estate agent. Day 1. Closing commission lands.,"Real estate agent. Day 1. Closing commission lands.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,real estate,green,real,estate",,,,5 slides
87,listicle,C193_list-automating-beats-discipline,C193,list-automating-beats-discipline,pending,4 reasons automating beats discipline.,"4 reasons automating beats discipline.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,4 reasons,glass,list,automating,beats,discipline",,,,6 slides
88,learn,C122_learn-paydex-80,C122,learn-paydex-80,pending,PAYDEX 80+. The threshold lenders want.,"PAYDEX 80+. The threshold lenders want.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,business credit,green,learn,paydex",,,,5 slides
89,product,PC8_product-why-apps-fail,PC8,product-why-apps-fail,pending,Why apps fail variable income.,"Why apps fail variable income.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,glass-dark,product,apps,fail",,,,7 slides
90,legacy,C8_5-signs-working,C8,5-signs-working,pending,5 signs your money system is working.,"5 signs your money system is working.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,glass,signs,working",,,,7 slides
91,brand-script,C246_brandscript-permission,C246,brandscript-permission,pending,You want to stop feeling guilty about money.,"You want to stop feeling guilty about money.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,white,permission",,,,6 slides
92,identity,C252_identity-holiday-no-borrow,C252,identity-holiday-no-borrow,pending,December. First holiday without a credit card.,"December. First holiday without a credit card.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,green,holiday,borrow",,,,5 slides
93,scenario,C105_scenario-lost-client,C105,scenario-lost-client,pending,Your biggest client just churned.,"Your biggest client just churned.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,black,lost,client",,,,5 slides
94,persona,C102_persona-etsy-shopify,C102,persona-etsy-shopify,pending,November-December. Then a cliff.,"November-December. Then a cliff.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,seller,glass,persona,etsy,shopify",,,,5 slides
95,feature,C98_feature-tax-classify,C98,feature-tax-classify,pending,Business meal? Personal? Tag it.,"Business meal? Personal? Tag it.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,tax classify,green,feature,classify",,,,5 slides
96,day-1-31,C261_etsy-day-1-31,C261,etsy-day-1-31,pending,Etsy/Shopify seller. Day 1. Holiday spike payouts.,"Etsy/Shopify seller. Day 1. Holiday spike payouts.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,seller,glass,etsy",,,,5 slides
97,listicle,C192_list-floor-first-reasons,C192,list-floor-first-reasons,pending,5 reasons Floor-First works for variable income.,"5 reasons Floor-First works for variable income.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,5 reasons,green,list,floor,first,reasons",,,,7 slides
98,learn,C123_learn-mca-trap,C123,learn-mca-trap,pending,MCA: Merchant Cash Advance.,"MCA: Merchant Cash Advance.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,warning,black,learn,trap",,,,5 slides
99,product,PC7_product-stop-doing,PC7,product-stop-doing,pending,5 things you stop doing with Able.,"5 things you stop doing with Able.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,green,product,stop,doing",,,,7 slides
100,legacy,C9_three-personas,C9,three-personas,pending,Which one are you?,"Which one are you?

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,page,three,personas",,,,7 slides
101,brand-script,C248_brandscript-weekly-rhythm,C248,brandscript-weekly-rhythm,pending,You want a money habit that takes 10 minutes a week.,"You want a money habit that takes 10 minutes a week.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,glass-dark,weekly,rhythm",,,,6 slides
102,identity,C254_identity-accountant-call-calm,C254,identity-accountant-call-calm,pending,Accountant call. Used to be a panic call.,"Accountant call. Used to be a panic call.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,white,accountant,call,calm",,,,5 slides
103,scenario,C107_scenario-card-declined,C107,scenario-card-declined,pending,Buying coffee. Card said no.,"Buying coffee. Card said no.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,glass-dark,card,declined",,,,5 slides
104,persona,C103_persona-tipped-server,C103,persona-tipped-server,pending,Tuesday: $84. Saturday: $340.,"Tuesday: $84. Saturday: $340.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,tips,black,persona,tipped,server",,,,5 slides
105,feature,C99_feature-dashboard,C99,feature-dashboard,pending,One screen. Where everything fits.,"One screen. Where everything fits.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,home,glass,feature,dashboard",,,,5 slides
106,day-1-31,C262_tipped-day-1-31,C262,tipped-day-1-31,pending,Tipped server. Day 1. Friday shift. Cash + cards.,"Tipped server. Day 1. Friday shift. Cash + cards.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,tips,black,tipped",,,,5 slides
107,listicle,C194_list-inconsistent-income-tips,C194,list-inconsistent-income-tips,pending,6 tips for managing inconsistent income.,"6 tips for managing inconsistent income.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,6 tips,white,list,inconsistent,income,tips",,,,8 slides
108,learn,C124_learn-business-denied,C124,learn-business-denied,pending,Small biz loan applications: 80% get denied.,"Small biz loan applications: 80% get denied.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,funding,glass-dark,learn,business,denied",,,,5 slides
109,legacy,C10_save-more,C10,save-more,pending,'Save more' isn't a plan.,"'Save more' isn't a plan.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,swipe →,black,save,more",,,,7 slides
110,brand-script,C250_brandscript-end-the-cycle,C250,brandscript-end-the-cycle,pending,You want to end the Day 1-31 cycle.,"You want to end the Day 1-31 cycle.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,brandscript,page,cycle",,,,6 slides
111,identity,C255_identity-said-no-to-client,C255,identity-said-no-to-client,pending,You said no to a bad client.,"You said no to a bad client.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,identity,black,said,client",,,,5 slides
112,scenario,C108_scenario-year-end,C108,scenario-year-end,pending,December 31. Twelve months in.,"December 31. Twelve months in.

Built for the way you actually get paid. Floor-First Budgeting for variable income.

Try Able free for 30 days: becomeable.app/get-able

#Shorts #Budgeting #VariableIncome #Freelancer #1099 #FloorFirst #InconsistentIncome #PersonalFinance #SelfEmployed #FreelanceTok","budgeting,variable income,inconsistent income,freelancer,self employed,floor first,able app,personal finance,1099,scenario,glass,year",,,,5 slides
